variable,Q1_mean,Q1_ci95_low,Q1_ci95_high,Q4_mean,Q4_ci95_low,Q4_ci95_high,difference_high_minus_low,diff_ci95_low,diff_ci95_high
Y,0.4412116344744553,0.43469347921167906,0.44772978973723165,0.31997052244519275,0.315020358992866,0.32492068589751943,-0.11938828871517804,-0.12727120035957235,-0.11144912492457382
age,63.233233233233236,62.742118763499896,63.735596089879344,45.44027360694027,45.0938136009284,45.822711947110875,-17.493493493493496,-18.11747338500904,-16.889033105989036
log_totexp,12.864185616428358,12.839555864519877,12.885529545392622,13.929916549790828,13.90838772716361,13.948272501546931,1.0666573407560316,1.036904963123249,1.0960768262077174
p_hat,0.4531164668497638,0.4479331912088621,0.45829974249066563,0.5974142603190689,0.5933785837335257,0.6017331416792538,0.14409355483069858,0.1383551128249841,0.14992937144163943
sex_male,0.7103770437103771,0.6941349299647472,0.7266191574560068,0.9537871204537871,0.946269305508564,0.9613049353990104,0.24224224224224228,0.22464558640588145,0.25983889807860316
size,2.276109442776109,2.2334286351949006,2.318790250357318,4.6770103436770105,4.623466808910001,4.73055387844402,2.404904904904905,2.3359335317393715,2.474172728221795
