feature,observed_importance,perm_median,perm_p95,perm_p_value,adjusted_importance,n_permutations
log_totexp,0.5810015745245053,0.6305500775309247,0.6550701864847741,1.0,-0.0,50
age,0.30762233247929016,0.2570745574620631,0.27391484337518496,0.0196078431372549,3.9318256327243257,50
size,0.08073631142456585,0.09204606294927953,0.11984711966909237,0.9803921568627451,0.019802627296179754,50
sex_male,0.030639781571638634,0.018979178564268118,0.02586427768414612,0.0196078431372549,3.9318256327243257,50
