term,estimate_median,ci95_low_median,ci95_high_median,n_splits
ATE_beta1,-0.023649341904147775,-0.02877830736282045,-0.018493730130743603,100
HET_beta2,0.6703229759875864,0.33255678341764283,1.0011537161096857,100
