model,ate_test,ate_ci_low,ate_ci_high
GWL_Baseline_HC3,-0.02631848603716399,-0.03043251361842304,-0.02220445845590494
GWL_Extended_HC3,-0.026037989533800765,-0.030227641815244455,-0.021848337252357075
LinearDML,-0.02407895346512607,-0.02816559861330048,-0.01999230831695166
CausalForestDML,-0.02442271906736404,-0.04541665723706813,-0.003428780897659956
